Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Voxelized,2015,Free,35,/,adventure,343434,3.018,2.258
Mercenary Kings,2014,$19.99,73,76,adventure,342251,7.084,2.306
All Is Dust,2015,Free,43,/,adventure,341659,0.11399999999999999,0.048
Call of Duty®: Infinite Warfare,2016,$59.99,52,/,adventure,339884,20.306,9.198
StarForge,2014,$9.99,14,/,adventure,336333,4.138,1.126
The Beginner's Guide,2015,$9.99,86,/,adventure,333571,2.108,1.216
Labyronia RPG,2015,$1.99,73,/,adventure,332190,4.012,3.054
Snapshot,2012,$9.99,79,74,adventure,330612,1.042,0.15
Dungeon Fighter Online,2016,Free,83,78,adventure,329429,16.246,2.036
gravilon,2015,$1.99,62,/,adventure,329429,3.24,3.024
Missing Translation,2015,Free,89,/,adventure,329232,1.03,0.132
Memories of a Vagabond,2014,$4.99,81,/,adventure,327851,2.306,2.018
Goodbye Deponia,2013,$19.99,88,80,adventure,326864,8.276,6.15
Rebel Galaxy,2015,$19.99,87,/,adventure,326864,15.06,5.03
RPG MO,2015,Free,77,/,adventure,326667,9.114,0.066
Fork Parker's Holiday Profit Hike,2014,Free,82,/,adventure,326075,0.156,0.054
Toki Tori 2+,2013,$4.49,83,/,adventure,325484,2.144,1.024
Shelter 2,2015,$14.99,87,58,adventure,324694,3.084,1.15
the static speaks my name,2015,Free,81,/,adventure,324300,0.15,0.084
Chronicle: RuneScape Legends,2016,Free,79,76,adventure,323314,10.264,1.096
The Whispered World Special Edition,2014,$19.99,75,/,adventure,323116,3.186,1.288
Gems of War,2014,Free,75,/,adventure,320749,67.096,4.294
Starseed Pilgrim,2013,$5.99,56,83,adventure,316212,0.288,0.066
Offspring Fling!,2012,$7.99,85,79,adventure,316212,2.126,1.228
Terra Incognita ~ Chapter One: The Descendant,2015,$0.49,75,/,adventure,314831,3.09,3.006
The LEGO Movie - Videogame,2014,$19.99,84,/,adventure,314437,19.126,7.2459999999999996
INSIDE,2016,$19.99,95,87,adventure,314240,6.006,4.084
Syberia 2,2011,$12.99,85,80,adventure,314042,4.198,3.042
Legacy of Kain: Soul Reaver,2012,$6.99,76,/,adventure,313056,2.222,0.21
Greyfox,2015,$0.49,76,/,adventure,310689,3.198,3.09
Tales Runner,2015,Free,47,/,adventure,310689,4.204,0.126
Broken Sword 1 - Shadow of the Templars: Director's Cut,2010,$5.99,91,/,adventure,310492,5.216,1.312
Paradise Island - VR MMO,2015,$0.49,55,/,adventure,309900,5.222,5.324
Labyronia RPG 2,2015,$1.99,77,/,adventure,309702,4.132,3.174
Lego Harry Potter,2010,$19.99,78,79,adventure,308913,12.084,3.3
Abyss Odyssey,2014,$14.99,66,69,adventure,308716,4.144,2.294
The Ball,2010,$9.99,73,68,adventure,308519,2.12,0.24599999999999997
Litil Divil,2014,$9.99,45,/,adventure,307533,0.144,0.012
LEGO Batman 3: Beyond Gotham,2014,$29.99,86,/,adventure,306152,22.006,9.144
Samorost 2,2009,$4.99,85,/,adventure,305954,1.0,0.24599999999999997
The Testament of Sherlock Holmes,2012,$19.99,85,73,adventure,305363,7.138,3.288
Heroine's Quest: The Herald of Ragnarok,2014,Free,87,/,adventure,305363,3.138,0.138
Legacy of Kain: Soul Reaver 2,2012,$6.99,76,77,adventure,304771,2.2640000000000002,0.132
