Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Emily Wants To Play,2015,$4.99,82,/,simulation,68845,1.258,0.27
OCEAN CITY RACING,2014,$1.49,37,/,simulation,68253,1.216,0.11399999999999999
Out of Reach,2015,$14.99,66,/,simulation,68253,12.258,3.168
Artemis Spaceship Bridge Simulator,2013,$6.99,91,/,simulation,67464,3.21,2.036
Grand Ages: Medieval,2015,$29.99,43,63,simulation,67069,20.264,8.0
Farming World,2014,$4.99,38,/,simulation,67069,3.144,2.114
Pacific Storm: Allies,2008,$7.99,55,60,simulation,66872,16.354,2.282
The FOO Show,2016,Free,96,/,simulation,66872,0.084,0.042
Rescue: Everyday Heroes,2013,$9.99,58,/,simulation,66872,4.072,2.084
theBlu,2016,$9.99,88,/,simulation,66872,6.138,1.006
See No Evil,2014,$0.49,75,/,simulation,66478,2.24,2.204
8-Bit Armies,2016,$14.99,85,/,simulation,66478,6.18,2.174
Gratuitous Tank Battles,2012,$9.99,55,69,simulation,66280,2.054,0.24599999999999997
Take On Mars,2013,$21.99,66,/,simulation,66083,10.066,3.276
Dyscourse,2015,$14.99,79,71,simulation,65886,2.318,1.3
Theatre of War 2: Kursk 1943,2010,$4.99,66,/,simulation,65097,9.114,1.15
Zafehouse: Diaries,2013,$4.99,68,/,simulation,64505,5.06,2.204
F1 2011,2011,$14.99,75,83,simulation,64308,25.048,9.156
Project Highrise,2016,$19.99,82,73,simulation,63913,9.258,5.348
The VR Museum of Fine Art,2016,Free,96,/,simulation,63519,0.06,0.03
Skyscraper Simulator,2013,$3.99,12,/,simulation,63519,1.156,0.216
Rise of Venice,2013,$24.99,54,66,simulation,63124,17.12,4.348
DRAGON: A Game About a Dragon,2015,$0.49,71,/,simulation,62730,2.168,2.054
Exanima,2015,$14.99,84,/,simulation,62532,13.042,4.288
Toy Soldiers: Complete,2016,$14.99,76,/,simulation,62138,5.276,3.174
Rig 'n' Roll,2010,$4.99,48,61,simulation,61940,5.21,0.33
Dovetail Games Fishing,2015,$19.99,65,/,simulation,61151,14.102,2.27
"7 Grand Steps, Step 1: What Ancients Begat",2013,$19.99,60,/,simulation,61151,6.24,2.354
Knights of Pen and Paper 2,2015,$7.99,84,/,simulation,61151,9.012,5.114
Software Inc.,2015,$13.99,93,/,simulation,60954,20.204,9.216
Pro Cycling Manager 2015,2015,$19.99,56,/,simulation,60757,90.018,49.09
Trick and Treat - Visual Novel,2016,Free,90,/,simulation,60757,0.324,0.10200000000000001
Faces of War,2014,$4.99,86,67,simulation,60165,6.282,1.33
Parkan 2,2014,$3.99,65,/,simulation,60165,2.168,1.108
World of Zoo,2009,$14.99,81,/,simulation,60165,16.174,0.18
Distant Worlds: Universe,2014,$59.99,78,81,simulation,59968,59.156,11.06
The Body VR,2016,Free,99,/,simulation,59968,0.138,0.078
The Great Art Race,,$4.99,66,/,simulation,59771,2.144,0.132
Sakura Beach,2015,$9.99,79,/,simulation,59771,5.282,3.042
SOL: Exodus,2012,$7.99,48,57,simulation,59376,2.042,0.312
Starpoint Gemini,2012,$3.49,32,46,simulation,58982,4.204,1.1139999999999999
Happy Room,2016,$4.99,85,/,simulation,57995,4.018,2.336
Automation - The Car Company Tycoon Game,2015,$29.99,86,/,simulation,57206,21.246,5.12
Kingdom Wars 2: Battles,2016,$18.99,70,/,simulation,57206,7.12,2.258
MSI Electric City,2016,Free,78,/,simulation,57206,1.258,0.036
Operation: New Earth,2016,Free,48,/,simulation,55628,7.012,0.06
