Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Knights of Pen and Paper +1,2013,$9.99,85,/,indie,430033,6.192,3.018
Grow Home,2015,$7.99,93,75,indie,429441,4.012,2.06
Sunless Sea,2015,$18.99,83,81,indie,429046,13.264,3.192
Closure,2012,$9.99,88,78,indie,429046,1.258,0.27
Atom Zombie Smasher,2011,$9.99,88,75,indie,428257,3.15,1.102
DETOUR,2011,$0.49,62,/,indie,427468,2.324,2.054
The Howler,2016,$1.99,80,/,indie,426482,3.144,2.33
A Story About My Uncle,2014,$12.99,93,73,indie,425101,3.2640000000000002,2.2279999999999998
GRAV,2015,$19.99,66,/,indie,424312,10.222,2.072
Vertiginous Golf,2015,$9.99,58,63,indie,423523,0.264,0.10200000000000001
Magicite,2014,$9.99,88,/,indie,423523,13.048,6.24
Door Kickers,2014,$19.99,96,83,indie,423129,7.144,3.036
Organ Trail: Director's Cut,2013,$4.99,89,/,indie,422142,4.072,2.186
"Cook, Serve, Delicious!",2013,$9.99,95,/,indie,420761,7.336,3.108
Shatter,2010,$9.99,94,84,indie,419183,1.354,0.312
Proteus,2013,$9.99,73,80,indie,419183,0.3,0.10200000000000001
Art of War: Red Tides,2016,Free,85,/,indie,418986,4.21,0.24599999999999997
A Virus Named TOM,2012,$9.99,57,65,indie,418394,2.03,1.042
RUSH,2010,$9.99,89,/,indie,414646,1.312,0.24
DLC Quest,2013,$2.99,88,/,indie,414252,2.15,1.252
EDGE,2011,$9.99,92,/,indie,411687,1.072,0.144
Tower Wars,2012,$7.99,74,59,indie,407742,5.15,2.072
Destination Sol,2015,Free,79,/,indie,407545,0.324,0.078
The Basement Collection,2012,$3.99,85,/,indie,403205,2.156,0.318
Victor Vran,2015,$19.99,90,75,indie,402613,9.276,4.132
Moirai,2016,Free,96,/,indie,402416,0.09,0.06
Always Sometimes Monsters,2014,$1.99,77,73,indie,400838,5.078,2.066
HOARD,2011,$9.99,82,65,indie,400443,2.234,0.294
Talisman: Digital Edition,2014,$7.99,75,51,indie,400049,18.132,4.036
Saviors,2016,$1.99,85,/,indie,398273,3.204,3.108
Passing Pineview Forest,2014,Free,69,/,indie,398076,0.174,0.072
Intrusion 2,2012,$9.99,84,80,indie,397682,1.27,0.18
Assetto Corsa,2014,$29.99,88,85,indie,396893,55.06,9.084
GooCubelets,2015,$0.49,76,/,indie,396104,3.2279999999999998,3.18
Hand Of Fate,2015,$19.99,92,78,indie,395315,6.288,3.204
CONSORTIUM,2014,$9.99,74,/,indie,395315,3.234,3.066
Moon Breakers,2012,Free,60,/,indie,395117,3.066,0.108
One Way Heroics,2014,$2.44,95,/,indie,394328,5.144,1.264
The Incredible Adventures of Van Helsing II,2014,$14.99,67,77,indie,393539,9.06,2.258
The Pirate: Caribbean Hunt,2016,Free,79,/,indie,392947,5.012,0.192
Retro City Rampage DX,2014,$9.99,91,/,indie,390580,3.144,1.12
AdVenture Communist,2016,Free,66,/,indie,390580,7.312,0.24
Caster,2009,$1.99,79,/,indie,390383,2.27,1.1139999999999999
Camera Obscura,2015,$1.99,73,/,indie,389002,3.198,2.2279999999999998
Titan Souls,2015,$14.99,81,74,indie,387819,2.048,1.0
Slender: The Arrival,2013,$9.99,89,65,indie,387424,2.282,1.168
LUFTRAUSERS,2014,$9.99,91,80,indie,387227,3.222,2.006
